Calciatore,Squadra,Ruolo,Fantamedia,Presenze,Gf,Gs,Rp,Rs,Au,Amm,Esp,FM_su_Totale_Gare,Probabilità,Appeal
Okoye,Udinese,P,5.25,2,0,2,0,0,0,1,0,3.5,0.9,2.2
Skorupski,Bologna,P,5.67,3,0,5,1,0,0,0,0,5.67,0.9,2.33
Vasquez D.,Empoli,P,5.5,3,0,2,0,0,0,1,0,5.5,0.9,2.28
Bisseck,Inter,D,4.5,1,0,0,0,0,0,0,0,1.5,0.4,1.63
Di Lorenzo,Napoli,D,6.67,3,1,0,0,0,0,0,0,6.67,0.9,2.63
Dumfries,Inter,D,6.0,2,0,0,0,0,0,0,0,4.0,0.9,2.43
Ehizibue,Udinese,D,6.0,2,0,0,0,0,0,1,0,4.0,0.9,2.43
Gaspar K.,Lecce,D,6.0,3,0,0,0,0,0,0,0,6.0,0.9,2.43
Ismajli,Empoli,D,6.5,3,0,0,0,0,0,0,0,6.5,0.9,2.58
Luperto,Cagliari,D,6.67,3,0,0,0,0,0,0,0,6.67,0.9,2.63
Martin,Genoa,D,6.5,2,0,0,0,0,0,0,0,4.33,0.9,2.58
Bernabe',Parma,C,6.33,3,0,0,0,0,0,0,0,6.33,0.9,2.53
Colpani,Fiorentina,C,5.75,2,0,0,0,0,0,0,0,3.83,0.9,2.36
Ederson D.s.,Atalanta,C,5.83,3,0,0,0,0,0,1,0,5.83,0.9,2.38
Fofana Y.,Milan,C,5.25,2,0,0,0,0,0,1,0,3.5,0.9,2.2
Lobotka,Napoli,C,5.5,3,0,0,0,0,0,1,0,5.5,0.9,2.28
Malinovskyi,Genoa,C,6.0,2,0,0,0,0,0,1,0,4.0,0.65,2.26
Mandragora,Fiorentina,C,2.5,2,0,0,0,0,0,1,0,1.67,0.8,1.31
Ricci S.,Torino,C,6.17,3,0,0,0,0,0,1,0,6.17,0.9,2.48
Castellanos,Lazio,A,8.67,3,2,0,0,0,0,1,0,8.67,0.9,3.23
Krstovic,Lecce,A,6.67,3,1,0,0,0,0,0,0,6.67,0.9,2.63
Lucca,Udinese,A,7.5,2,1,0,0,0,0,1,0,5.0,0.9,2.88
Pinamonti,Genoa,A,10.0,1,1,0,0,0,0,0,0,3.33,0.9,3.63
Rocha Livramento,Verona,A,7.5,2,1,0,0,0,0,0,0,5.0,0.6,2.67
Zapata D.,Torino,A,7.5,3,1,0,0,0,0,1,0,7.5,0.9,2.88
