Calciatore,Ruolo,Fantamedia,Presenze,Gf,Gs,Rp,Rs,Au,Amm,Esp,FM_su_Totale_Gare
Brescianini,C,14,3,2,0,0,0,0,0,0,14
Retegui,A,13.5,3,2,0,0,0,0,1,0,13.5
Thuram,A,13.5,3,4,0,0,0,0,0,0,13.5
Orsolini,C,10.5,3,0,0,0,0,0,0,0,10.5
Zapata D.,A,10.5,3,1,0,0,0,0,1,0,10.5
Castellanos,A,10,3,2,0,0,0,0,1,0,10
Man,C,10,3,2,0,0,0,0,0,0,10
Okafor,A,10,3,1,0,0,0,0,0,0,10
Zaccagni,C,10,3,0,0,0,0,0,1,0,10
Mosquera,A,13.5,2,2,0,0,0,0,0,0,9
Skorupski,P,8.5,3,0,5,1,0,0,0,0,8.5
Barella,C,8,3,1,0,0,0,0,0,0,8
Lazaro,D,8,3,0,0,0,0,0,1,0,8
Pasalic,C,8,3,0,0,0,1,0,1,0,8
Ruggeri,D,8,3,0,0,0,0,0,0,0,8
Bonny,A,7.5,3,0,0,0,0,0,0,0,7.5
Ellertsson,C,7.5,3,0,0,0,0,0,0,0,7.5
Frattesi,C,7.5,3,0,0,0,0,0,0,0,7.5
Musah,C,7.5,3,0,0,0,0,0,0,0,7.5
Mbangula,A,11,2,1,0,0,0,0,0,0,7.33
Dele-Bashiru,C,7,3,0,0,0,0,0,0,0,7
Rocha Livramento,A,10,2,1,0,0,0,0,0,0,6.67
Vogliacco,D,10,2,1,0,0,0,0,0,0,6.67
Bastoni,D,6.5,3,0,0,0,0,0,0,0,6.5
Castro S.,A,6.5,3,0,0,0,0,0,0,0,6.5
Coco,D,6.5,3,1,0,0,0,0,0,0,6.5
Freuler,C,6.5,3,0,0,0,0,0,0,0,6.5
Henderson L.,C,6.5,3,0,0,0,0,0,1,0,6.5
Ilic,C,6.5,3,1,0,0,0,0,1,0,6.5
Ismajli,D,6.5,3,0,0,0,0,0,0,0,6.5
Lazzari,D,6.5,3,0,0,0,0,0,0,0,6.5
Marin,C,6.5,3,0,0,0,0,0,2,0,6.5
Noslin,A,6.5,3,0,0,0,0,0,0,0,6.5
Scuffet,P,6.5,3,0,2,0,0,0,0,0,6.5
Sohm,C,6.5,3,0,0,0,0,0,0,0,6.5
Solbakken,A,6.5,3,0,0,0,0,0,1,0,6.5
Sommer,P,6.5,3,0,2,1,0,0,0,0,6.5
Taremi,A,6.5,3,0,0,0,0,0,0,0,6.5
Walukiewicz,D,6.5,3,0,0,0,0,0,0,0,6.5
Zappacosta,D,6.5,3,0,0,0,0,0,0,0,6.5
Andersen M.k.,C,9.5,2,1,0,0,0,0,0,0,6.33
Biraghi,D,9.5,2,1,0,0,0,0,0,0,6.33
Cambiaso,D,9.5,2,1,0,0,0,0,1,0,6.33
Giannetti L.,D,9.5,2,1,0,0,0,0,2,0,6.33
Lazovic,C,9.5,2,0,0,0,0,0,0,0,6.33
Aebischer,C,6,3,0,0,0,0,0,0,0,6
Almqvist,A,6,3,0,0,0,0,0,0,0,6
Balogh,D,6,3,0,0,0,0,0,1,0,6
Beukema,D,6,3,0,0,0,0,0,0,0,6
Cancellieri,A,6,3,1,0,0,0,0,0,0,6
Carlos Augusto,D,6,3,0,0,0,0,0,0,0,6
Circati,D,6,3,0,0,0,0,0,1,0,6
Coulibaly W.,D,6,3,0,0,0,0,0,0,0,6
De Ketelaere,A,6,3,0,0,0,0,0,0,0,6
De Roon,C,6,3,0,0,0,0,0,2,0,6
Dimarco,D,6,3,0,0,0,0,0,0,0,6
Djimsiti,D,6,3,0,0,0,0,1,1,0,6
Ederson D.s.,C,6,3,0,0,0,0,0,1,0,6
Esposito Se.,A,6,3,0,0,0,0,0,0,0,6
Fabbian,C,6,3,1,0,0,0,0,0,0,6
Fazzini,C,6,3,0,0,0,0,0,1,0,6
Guendouzi,C,6,3,0,0,0,0,0,1,0,6
Gyasi,C,6,3,2,0,0,0,0,0,0,6
Hernandez T.,D,6,3,0,0,0,0,0,0,0,6
Isaksen,A,6,3,1,0,0,0,0,0,0,6
Linetty,C,6,3,0,0,0,0,0,1,0,6
Loftus-Cheek,C,6,3,0,0,0,0,0,1,0,6
Luperto,D,6,3,0,0,0,0,0,0,0,6
Luvumbo,A,6,3,0,0,0,0,0,0,0,6
Maleh,C,6,3,0,0,0,0,0,1,0,6
Marusic,D,6,3,0,0,0,0,0,0,0,6
Moro N.,C,6,3,0,0,0,0,0,0,0,6
Pavoletti,A,6,3,0,0,0,0,0,0,0,6
Pezzella Giu.,D,6,3,0,0,0,0,0,1,0,6
Piccoli,A,6,3,1,0,0,0,0,0,0,6
Posch,D,6,3,0,0,0,0,0,1,0,6
Prati,C,6,3,0,0,0,0,0,1,0,6
Reijnders,C,6,3,0,0,0,0,0,0,0,6
Romagnoli,D,6,3,0,0,0,0,0,1,0,6
Tchaouna,C,6,3,0,0,0,0,0,0,0,6
Valeri,D,6,3,0,0,0,0,0,0,0,6
Vasquez D.,P,6,3,0,2,0,0,0,1,0,6
Viti,D,6,3,0,0,0,0,0,0,0,6
Vojvoda,D,6,3,0,0,0,0,0,2,0,6
Zappa,D,6,3,0,0,0,0,0,1,0,6
Adams C.,A,5.5,3,1,0,0,0,0,1,0,5.5
Augello,D,5.5,3,0,0,0,0,0,0,0,5.5
Azzi,D,5.5,3,0,0,0,0,0,1,0,5.5
Banda,A,5.5,3,0,0,0,0,0,1,0,5.5
Bernabe',C,5.5,3,0,0,0,0,0,0,0,5.5
Calhanoglu,C,5.5,3,0,0,0,0,0,0,0,5.5
Chukwueze,C,5.5,3,0,0,0,0,0,0,0,5.5
Colombo,A,5.5,3,0,0,0,0,0,0,0,5.5
Darmian,D,5.5,3,1,0,0,0,0,0,0,5.5
Deiola,C,5.5,3,0,0,0,0,0,1,0,5.5
Dorgu,D,5.5,3,0,0,0,0,0,0,1,5.5
Duncan,C,5.5,3,0,0,0,0,0,1,0,5.5
Gytkjaer,A,5.5,3,0,0,0,0,0,0,0,5.5
Kvaratskhelia,A,5.5,3,1,0,0,0,0,0,0,5.5
Masina,D,5.5,3,0,0,0,0,0,0,0,5.5
Mihaila,A,5.5,3,0,0,0,0,0,1,0,5.5
Mkhitaryan,C,5.5,3,0,0,0,0,0,1,0,5.5
Oristanio,C,5.5,3,0,0,0,0,0,1,0,5.5
Pierotti,A,5.5,3,0,0,0,0,0,0,0,5.5
Pierret,C,5.5,3,0,0,0,0,0,0,0,5.5
Provedel,P,5.5,3,0,5,0,0,0,0,0,5.5
Ramadani,C,5.5,3,0,0,0,0,0,0,0,5.5
Ricci S.,C,5.5,3,0,0,0,0,0,1,0,5.5
Spinazzola,D,5.5,3,0,0,0,0,0,0,0,5.5
Sverko,D,5.5,3,0,0,0,0,0,0,0,5.5
Tameze,C,5.5,3,0,0,0,0,0,1,0,5.5
Tete Morente,C,5.5,3,0,0,0,0,0,0,0,5.5
Tomori,D,5.5,3,0,0,0,0,0,0,0,5.5
Zampano,D,5.5,3,0,0,0,0,0,1,0,5.5
Duda,C,8,2,0,0,0,0,0,2,0,5.33
Yildiz,A,8,2,0,0,0,0,0,0,0,5.33
Acerbi,D,5,3,0,0,0,0,0,0,0,5
Coulibaly L.,C,5,3,0,0,0,0,0,0,0,5
Gallo,D,5,3,0,0,0,0,0,1,0,5
Krstovic,A,5,3,1,0,0,0,0,0,0,5
Leao,A,5,3,1,0,0,0,0,0,0,5
Maignan,P,5,3,0,6,0,0,0,0,0,5
Olivera,D,5,3,0,0,0,0,0,0,0,5
Politano,C,5,3,0,0,0,0,0,0,0,5
Pulisic,C,5,3,1,0,0,0,0,0,0,5
Simeone,A,5,3,1,0,0,0,0,0,0,5
Svoboda,D,5,3,0,0,0,0,0,0,0,5
Zambo Anguissa,C,5,3,1,0,0,0,0,1,0,5
Badelj,C,7,2,0,0,0,0,0,0,0,4.67
Bellanova,D,7,2,0,0,0,0,0,0,0,4.67
Bijol,D,7,2,0,0,0,0,0,0,0,4.67
Erlic,D,7,2,0,0,0,0,0,0,0,4.67
Tchatchoua,D,7,2,0,0,0,0,0,1,0,4.67
Altare,D,4.5,3,0,0,0,0,1,1,0,4.5
Baschirotto,D,4.5,3,0,0,0,0,0,0,0,4.5
Di Lorenzo,D,4.5,3,1,0,0,0,0,0,0,4.5
Gaspar K.,D,4.5,3,0,0,0,0,0,0,0,4.5
Lobotka,C,4.5,3,0,0,0,0,0,1,0,4.5
Mazzocchi,D,4.5,3,0,0,0,0,0,1,0,4.5
Milinkovic-Savic V.,P,4.5,3,0,3,1,0,0,1,0,4.5
Raspadori,A,4.5,3,0,0,0,0,0,1,0,4.5
Rrahmani,D,4.5,3,0,0,0,0,0,1,0,4.5
Suzuki,P,4.5,3,0,2,0,0,0,0,1,4.5
Brenner,A,6.5,2,0,0,0,0,0,0,0,4.33
Cabal,D,6.5,2,0,0,0,0,0,0,0,4.33
Casale,D,6.5,2,0,0,0,0,0,0,0,4.33
Dawidowicz,D,6.5,2,0,0,0,0,0,0,0,4.33
Dybala,A,6.5,2,0,0,0,0,0,0,0,4.33
Frendrup,C,6.5,2,0,0,0,0,0,0,0,4.33
Harroui,C,6.5,2,0,0,0,0,0,0,0,4.33
Hien,D,6.5,2,0,0,0,0,0,1,0,4.33
Izzo,D,6.5,2,0,0,0,0,0,1,0,4.33
Kamara H.,D,6.5,2,0,0,0,0,0,0,1,4.33
Lykogiannis,D,6.5,2,0,0,0,0,0,0,0,4.33
Magnani,D,6.5,2,0,0,0,0,0,0,0,4.33
Malinovskyi,C,6.5,2,0,0,0,0,0,1,0,4.33
Martin,D,6.5,2,0,0,0,0,0,0,0,4.33
Messias,C,6.5,2,1,0,0,1,0,0,0,4.33
Montipo',P,6.5,2,0,3,0,0,0,0,0,4.33
Pizzignacco,P,6.5,2,0,1,0,0,0,0,0,4.33
Svilar,P,6.5,2,0,2,0,0,0,0,0,4.33
Vlahovic,A,6.5,2,1,0,0,0,0,0,0,4.33
Adopo,C,6,2,0,0,0,0,0,0,0,4
Amrabat,C,6,2,0,0,0,0,0,0,0,4
Baldanzi,C,6,2,0,0,0,0,0,0,0,4
Belahyane,C,6,2,0,0,0,0,0,1,0,4
Birindelli,D,6,2,0,0,0,0,0,0,0,4
Bondo,C,6,2,0,0,0,0,0,0,0,4
Bremer,D,6,2,0,0,0,0,0,0,0,4
Caprari,A,6,2,0,0,0,0,0,0,0,4
Colpani,C,6,2,0,0,0,0,0,0,0,4
Coppola D.,D,6,2,0,0,0,0,0,1,0,4
Cristante,C,6,2,0,0,0,0,0,0,0,4
Di Gregorio,P,6,2,0,0,0,0,0,0,0,4
Dodo',D,6,2,0,0,0,0,0,0,0,4
Douglas Luiz,C,6,2,0,0,0,0,0,0,0,4
Dumfries,D,6,2,0,0,0,0,0,0,0,4
Ekkelenkamp,C,6,2,0,0,0,0,0,0,0,4
Fagioli,C,6,2,0,0,0,0,0,0,0,4
Gatti,D,6,2,0,0,0,0,0,0,0,4
Karamoh,A,6,2,0,0,0,0,0,0,0,4
Karlstrom,C,6,2,0,0,0,0,0,0,0,4
Kyriakopoulos,D,6,2,0,0,0,0,0,0,0,4
Le Fee,C,6,2,0,0,0,0,0,0,0,4
Locatelli,C,6,2,0,0,0,0,0,1,0,4
Mancini,D,6,2,0,0,0,0,0,0,0,4
