Ruolo,Calciatore,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
P,Carnesecchi,7,0,2,0,0,0,0,0,0,0
D,Zappacosta,6.5,0,0,0,0,0,0,0,0,1
D,Djimsiti,4.5,0,0,0,0,0,0,1,0,0
D,Ruggeri,6,0,0,0,0,0,0,0,0,0
D,Hien,5.5,0,0,0,0,0,0,1,0,0
D,Palestra,6,0,0,0,0,0,0,0,0,0
C,De Roon,5.5,0,0,0,0,0,0,0,0,0
C,Pasalic,5,0,0,0,1,0,0,1,0,0
C,Zaniolo,5.5,0,0,0,0,0,0,1,0,0
C,Brescianini,6,0,0,0,0,0,0,0,0,0
C,Samardzic,6,0,0,0,0,0,0,0,0,0
C,Ederson D.s.,6.5,0,0,0,0,0,0,0,0,0
C,Cassa,6,0,0,0,0,0,0,0,0,0
C,Manzoni,6,0,0,0,0,0,0,0,0,0
A,De Ketelaere,6.5,0,0,0,0,0,0,0,0,0
A,Retegui,7,1,0,0,0,0,0,0,0,0
P,Skorupski,6,0,3,0,0,0,0,0,0,0
D,Lykogiannis,5.5,0,0,0,0,0,0,0,0,0
D,Miranda J.,6,0,0,0,0,0,0,0,0,0
D,Erlic,6,0,0,0,0,0,0,0,0,0
D,Lucumi',5,0,0,0,0,0,0,1,0,0
D,Posch,5,0,0,0,0,0,0,1,0,0
D,Beukema,5.5,0,0,0,0,0,0,0,0,0
C,Freuler,6,0,0,0,0,0,0,0,0,0
C,Orsolini,5.5,0,0,0,0,0,0,0,0,0
C,Ndoye,6,0,0,0,0,0,0,0,0,0
C,Aebischer,5.5,0,0,0,0,0,0,0,0,0
C,Moro N.,5.5,0,0,0,0,0,0,0,0,0
C,Fabbian,6,0,0,0,0,0,0,0,0,0
C,Karlsson,5.5,0,0,0,0,0,0,0,0,0
A,Odgaard,5.5,0,0,0,0,0,0,0,0,0
A,Castro S.,5.5,0,0,0,0,0,0,0,0,0
P,Scuffet,6.5,0,1,0,0,0,0,0,0,0
D,Luperto,6.5,0,0,0,0,0,0,0,0,1
D,Palomino,6,0,0,0,0,0,0,0,0,0
D,Mina,6,0,0,0,0,0,0,0,0,0
D,Augello,6,0,0,0,0,0,0,0,0,0
D,Zappa,5.5,0,0,0,0,0,0,0,0,0
D,Obert,6,0,0,0,0,0,0,0,0,0
D,Azzi,6.5,0,0,0,0,0,0,0,0,0
C,Deiola,6,0,0,0,0,0,0,0,0,0
C,Adopo,6,0,0,0,0,0,0,0,0,0
C,Marin,5.5,0,0,0,0,0,0,1,0,0
C,Prati,6,0,0,0,0,0,0,1,0,0
A,Pavoletti,6,0,0,0,0,0,0,0,0,0
A,Lapadula,6,0,0,0,0,0,0,0,0,0
A,Piccoli,7,1,0,0,0,0,0,0,0,0
A,Luvumbo,6,0,0,0,0,0,0,0,0,0
P,Reina,5.5,0,1,0,0,0,0,0,0,0
D,Barba,4.5,0,0,0,0,0,0,0,0,0
D,Goldaniga,6,0,0,0,0,0,0,0,0,0
D,Sergi Roberto,6,0,0,0,0,0,0,0,0,0
D,Moreno Alb.,5.5,0,0,0,0,0,0,1,0,0
D,Dossena,6,0,0,0,0,0,0,0,0,1
D,Iovine,6,0,0,0,0,0,0,0,0,0
C,Mazzitelli,5.5,0,0,0,0,0,0,0,0,0
C,Strefezza,6.5,0,0,0,0,0,0,0,0,0
C,Da Cunha,6,0,0,0,0,0,0,0,0,0
C,Perrone,6,0,0,0,0,0,0,0,0,0
C,Braunoder,6,0,0,0,0,0,0,1,0,0
C,Paz N.,6.5,0,0,0,0,0,0,0,0,0
A,Cerri,5,0,0,0,0,0,0,0,0,0
A,Belotti,5.5,0,0,0,0,0,0,0,0,0
A,Cutrone,7,1,0,0,0,0,0,0,0,0
P,Vasquez D.,6.5,0,1,0,0,0,0,0,0,0
D,Pezzella Giu.,6.5,0,0,0,0,0,0,0,0,0
D,Walukiewicz,5,0,0,0,0,0,0,0,0,0
D,Ismajli,6,0,0,0,0,0,0,0,0,0
D,Stojanovic,6,0,0,0,0,0,0,0,0,0
D,Viti,7,0,0,0,0,0,0,0,0,0
D,Cacace,6,0,0,0,0,0,0,1,0,0
C,Haas,6,0,0,0,0,0,0,0,0,0
C,Henderson L.,6.5,0,0,0,0,0,0,0,0,0
C,Gyasi,6.5,1,0,0,0,0,0,0,0,0
C,Maleh,6,0,0,0,0,0,0,1,0,0
C,Fazzini,7,0,0,0,0,0,0,0,0,0
A,Esposito Se.,6.5,0,0,0,0,0,0,0,0,0
A,Colombo,7,0,0,0,0,1,0,0,0,1
A,Ekong,6,0,0,0,0,0,0,0,0,0
A,Solbakken,6,0,0,0,0,0,0,1,0,0
P,Terracciano,6,0,0,0,0,0,0,0,0,0
D,Biraghi,6,0,0,0,0,0,0,0,0,0
D,Ranieri L.,5.5,0,0,0,0,0,0,0,0,0
D,Martinez Quarta,6,0,0,0,0,0,0,0,0,0
D,Parisi,6,0,0,0,0,0,0,0,0,0
D,Dodo',6,0,0,0,0,0,0,0,0,0
D,Comuzzo,6,0,0,0,0,0,0,0,0,0
C,Mandragora,6,0,0,0,0,0,0,1,0,0
C,Barak,5.5,0,0,0,0,0,0,0,0,0
C,Sottil,5.5,0,0,0,0,0,0,0,0,0
C,Amrabat,5.5,0,0,0,0,0,0,0,0,0
C,Colpani,5.5,0,0,0,0,0,0,0,0,0
C,Richardson,6,0,0,0,0,0,0,0,0,0
A,Kean,6,0,0,0,0,0,0,0,0,0
A,Kouame',5.5,0,0,0,0,0,0,0,0,0
A,Beltran L.,6,0,0,0,0,0,0,0,0,0
P,Gollini,6,0,0,0,0,0,0,0,0,0
D,Sabelli,6.5,0,0,0,0,0,0,0,0,1
D,Bani,6,0,0,0,0,0,0,0,0,0
D,Martin,6.5,0,0,0,0,0,0,0,0,0
D,Vasquez,6,0,0,0,0,0,0,0,0,0
D,Zanoli,6,0,0,0,0,0,0,0,0,0
D,De Winter,6,0,0,0,0,0,0,1,0,0
D,Vogliacco,6,0,0,0,0,0,0,0,0,0
C,Badelj,6,0,0,0,0,0,0,0,0,0
C,Thorsby,5.5,0,0,0,0,0,0,1,0,0
C,Malinovskyi,6,0,0,0,0,0,0,1,0,0
C,Messias,6.5,0,0,0,0,0,0,0,0,0
C,Frendrup,6.5,0,0,0,0,0,0,0,0,0
A,Pinamonti,7,1,0,0,0,0,0,0,0,0
A,Ekuban,6,0,0,0,0,0,0,0,0,0
A,Vitinha O.,6,0,0,0,0,0,0,0,0,0
P,Sommer,6,0,0,0,0,0,0,0,0,0
D,Dimarco,6,0,0,0,0,0,0,0,0,0
D,Acerbi,6,0,0,0,0,0,0,0,0,0
D,Bastoni,6.5,0,0,0,0,0,0,0,0,0
D,Darmian,7,1,0,0,0,0,0,0,0,0
D,Pavard,6.5,0,0,0,0,0,0,0,0,0
D,Dumfries,6,0,0,0,0,0,0,0,0,0
D,Carlos Augusto,6,0,0,0,0,0,0,0,0,0
C,Barella,6.5,0,0,0,0,0,0,0,0,0
C,Calhanoglu,7,0,0,0,0,1,0,0,0,0
C,Mkhitaryan,6,0,0,0,0,0,0,0,0,0
C,Frattesi,6,0,0,0,0,0,0,0,0,0
C,Asllani,6,0,0,0,0,0,0,0,0,0
A,Arnautovic,6,0,0,0,0,0,0,0,0,0
A,Thuram,6,0,0,0,0,0,0,0,0,0
A,Taremi,6.5,0,0,0,0,0,0,0,0,1
P,Di Gregorio,6,0,0,0,0,0,0,0,0,0
D,Bremer,7,0,0,0,0,0,0,0,0,0
D,Danilo,6,0,0,0,0,0,0,0,0,0
D,Kalulu,6,0,0,0,0,0,0,0,0,0
D,Cambiaso,6,0,0,0,0,0,0,0,0,0
D,Gatti,6.5,0,0,0,0,0,0,0,0,0
D,Cabal,7,0,0,0,0,0,0,0,0,0
D,Savona,7,1,0,0,0,0,0,0,0,0
D,Rouhi,6,0,0,0,0,0,0,0,0,0
C,Locatelli,7,0,0,0,0,0,0,0,0,0
C,Fagioli,6,0,0,0,0,0,0,0,0,0
C,Douglas Luiz,6,0,0,0,0,0,0,0,0,0
A,Vlahovic,7.5,1,0,0,0,1,0,0,0,0
A,Yildiz,7,0,0,0,0,0,0,0,0,1
A,Mbangula,7.5,0,0,0,0,0,0,0,0,1
A,Anghele',6,0,0,0,0,0,0,0,0,0
P,Provedel,5.5,0,2,0,0,0,0,0,0,0
D,Hysaj,6,0,0,0,0,0,0,0,0,0
D,Patric,5,0,0,0,0,0,0,0,0,0
D,Romagnoli,5.5,0,0,0,0,0,0,1,0,0
D,Marusic,5,0,0,0,0,0,0,0,0,0
D,Lazzari,6.5,0,0,0,0,0,0,0,0,0
D,Casale,5.5,0,0,0,0,0,0,0,0,0
C,Vecino,5.5,0,0,0,0,0,0,0,0,0
C,Zaccagni,5.5,0,0,0,0,0,0,0,0,0
C,Guendouzi,5,0,0,0,0,0,0,0,0,0
C,Tchaouna,6,0,0,0,0,0,0,0,0,0
C,Dele-Bashiru,6,0,0,0,0,0,0,0,0,0
A,Dia,6,0,0,0,0,0,0,0,0,0
A,Castellanos,6,0,0,0,0,0,0,0,0,0
A,Isaksen,6.5,1,0,0,0,0,0,0,0,0
A,Noslin,5.5,0,0,0,0,0,0,0,0,0
P,Falcone,6,0,2,0,0,0,0,0,0,0
D,Gallo,5.5,0,0,0,0,0,0,1,0,0
D,Baschirotto,5.5,0,0,0,0,0,0,0,0,0
D,Gendrey,5.5,0,0,0,0,0,0,0,0,0
D,Dorgu,6,0,0,0,0,0,0,0,0,0
D,Gaspar K.,5,0,0,0,0,0,0,0,0,0
C,Coulibaly L.,6,0,0,0,0,0,0,0,0,0
C,Berisha M.,6,0,0,0,0,0,0,0,0,0
C,Rafia,5.5,0,0,0,0,0,0,0,0,0
C,Ramadani,6,0,0,0,0,0,0,0,0,0
C,Pierret,5.5,0,0,0,0,0,0,0,0,0
C,Tete Morente,5.5,0,0,0,0,0,0,0,0,0
A,Banda,5.5,0,0,0,0,0,0,1,0,0
A,Krstovic,5,0,0,0,0,0,0,0,0,0
A,Pierotti,5.5,0,0,0,0,0,0,0,0,0
P,Maignan,6,0,2,0,0,0,0,0,0,0
D,Calabria,5.5,0,0,0,0,0,0,0,0,0
D,Hernandez T.,5.5,0,0,0,0,0,0,0,0,0
D,Tomori,5.5,0,0,0,0,0,0,0,0,0
D,Emerson Royal,5,0,0,0,0,0,0,1,0,0
D,Pavlovic,6.5,0,0,0,0,0,0,1,0,0
C,Pulisic,6.5,1,0,0,0,0,0,0,0,0
C,Loftus-Cheek,5.5,0,0,0,0,0,0,1,0,0
C,Fofana Y.,5.5,0,0,0,0,0,0,0,0,0
C,Chukwueze,6,0,0,0,0,0,0,0,0,0
C,Musah,5.5,0,0,0,0,0,0,0,0,0
C,Reijnders,6,0,0,0,0,0,0,0,0,0
A,Jovic,6,0,0,0,0,0,0,0,0,0
A,Leao,6,0,0,0,0,0,0,0,0,1
A,Okafor,5,0,0,0,0,0,0,0,0,0
P,Pizzignacco,6,0,1,0,0,0,0,0,0,0
D,Izzo,5,0,0,0,0,0,0,1,0,0
D,Pereira P.,6,0,0,0,0,0,0,0,0,0
D,Kyriakopoulos,6,0,0,0,0,0,0,0,0,0
D,Mari',6,0,0,0,0,0,0,1,0,0
D,Caldirola,5.5,0,0,0,0,0,0,0,0,0
D,Birindelli,5.5,0,0,0,0,0,0,0,0,0
C,Gagliardini,6,0,0,0,0,0,0,0,0,0
C,Pessina,5.5,0,0,0,0,0,0,0,0,0
C,Maldini,6,0,0,0,0,0,0,0,0,0
C,Vignato S.,6,0,0,0,0,0,0,0,0,0
C,Bondo,6,0,0,0,0,0,0,0,0,0
A,Petagna,5.5,0,0,0,0,0,0,0,0,0
A,Caprari,6,0,0,0,0,0,0,0,0,0
A,Djuric,5.5,0,0,0,0,0,0,0,0,0
A,Mota,5.5,0,0,0,0,0,0,0,0,0
P,Meret,6.5,0,0,0,0,0,0,0,0,0
D,Spinazzola,6,0,0,0,0,0,0,0,0,0
D,Buongiorno,6.5,0,0,0,0,0,0,0,0,0
D,Di Lorenzo,7,1,0,0,0,0,0,0,0,0
D,Rrahmani,6.5,0,0,0,0,0,0,1,0,0
D,Mazzocchi,6,0,0,0,0,0,0,1,0,0
D,Olivera,6,0,0,0,0,0,0,0,0,0
C,Politano,6,0,0,0,0,0,0,0,0,0
C,Zambo Anguissa,6.5,0,0,0,0,0,0,0,0,0
C,Lobotka,6.5,0,0,0,0,0,0,0,0,0
C,Neres,6.5,0,0,0,0,0,0,0,0,1
A,Simeone,6.5,1,0,0,0,0,0,0,0,0
A,Raspadori,5.5,0,0,0,0,0,0,0,0,0
A,Kvaratskhelia,8,1,0,0,0,0,0,0,0,1
P,Suzuki,6.5,0,1,0,0,0,0,0,0,0
D,Balogh,6.5,0,0,0,0,0,0,0,0,0
D,Valeri,6.5,0,0,0,0,0,0,0,0,1
D,Circati,6,0,0,0,0,0,0,0,0,0
D,Delprato,6,0,0,0,0,0,0,0,0,0
D,Coulibaly W.,6.5,0,0,0,0,0,0,0,0,0
C,Cyprien,6,0,0,0,0,0,0,0,0,0
C,Estevez,6,0,0,0,0,0,0,0,0,0
C,Sohm,6,0,0,0,0,0,0,0,0,0
C,Man,7,1,0,0,0,0,0,0,0,0
C,Bernabe',6.5,0,0,0,0,0,0,0,0,0
A,Mihaila,6.5,0,0,0,0,0,0,0,0,0
A,Cancellieri,7,1,0,0,0,0,0,0,0,0
A,Almqvist,6.5,0,0,0,0,0,0,0,0,1
A,Bonny,6.5,0,0,0,0,0,0,0,0,0
P,Svilar,6.5,0,2,0,0,0,0,0,0,0
D,Mancini,6.5,0,0,0,0,0,0,0,0,0
D,N'Dicka,6,0,0,0,0,0,0,0,0,0
D,Celik,6,0,0,0,0,0,0,0,0,0
D,Angelino,5.5,0,0,0,0,0,0,0,0,0
C,Paredes,4,0,0,0,0,0,0,0,0,0
C,Pellegrini Lo.,5.5,0,0,0,0,0,0,0,0,0
C,Cristante,6,0,0,0,0,0,0,0,0,0
C,Zalewski,6,0,0,0,0,0,0,0,0,0
C,Baldanzi,6.5,0,0,0,0,0,0,0,0,1
C,Le Fee,6,0,0,0,0,0,0,0,0,0
A,Dybala,5,0,0,0,0,0,0,0,0,0
A,Shomurodov,7,1,0,0,0,0,0,0,0,0
A,Soule',5,0,0,0,0,0,0,0,0,0
A,Dovbyk,5.5,0,0,0,0,0,0,0,0,0
P,Milinkovic-Savic V.,7.5,0,1,1,0,0,0,1,0,0
D,Masina,6,0,0,0,0,0,0,0,0,0
D,Lazaro,5.5,0,0,0,0,0,0,0,0,0
D,Vojvoda,6.5,0,0,0,0,0,0,0,0,0
D,Coco,5.5,0,0,0,0,0,0,0,0,0
D,Sosa B.,6,0,0,0,0,0,0,0,0,0
D,Dembele' A.,6,0,0,0,0,0,0,0,0,0
C,Linetty,5.5,0,0,0,0,0,0,0,0,0
C,Tameze,6,0,0,0,0,0,0,0,0,0
C,Ilic,7.5,1,0,0,0,0,0,1,0,0
C,Ricci S.,6.5,0,0,0,0,0,0,0,0,0
C,Ciammaglichella,6,0,0,0,0,0,0,0,0,0
A,Zapata D.,6.5,0,0,0,0,0,0,1,0,0
A,Karamoh,6,0,0,0,0,0,0,0,0,0
A,Adams C.,7.5,1,0,0,0,0,0,0,0,1
P,Okoye,6,0,1,0,0,0,0,0,0,0
D,Kabasele,6,0,0,0,0,0,0,0,0,0
D,Kamara H.,5,0,0,0,0,0,0,0,1,0
D,Perez N.,6.5,0,0,0,0,0,0,0,0,0
D,Bijol,7,0,0,0,0,0,0,0,0,0
D,Ehizibue,6.5,0,0,0,0,0,0,0,0,0
D,Giannetti L.,6,0,0,0,0,0,0,1,0,0
C,Lovric,6,0,0,0,0,0,0,0,0,0
C,Zarraga,6,0,0,0,0,0,0,0,0,0
C,Payero,6.5,0,0,0,0,0,0,1,0,0
C,Karlstrom,6.5,0,0,0,0,0,0,0,0,0
C,Ekkelenkamp,6,0,0,0,0,0,0,0,0,0
A,Thauvin,8,1,0,0,0,0,0,0,0,1
A,Davis K.,6,0,0,0,0,0,0,0,0,0
A,Brenner,6,0,0,0,0,0,0,0,0,0
A,Lucca,7,1,0,0,0,0,0,0,0,0
P,Joronen,7,0,0,0,0,0,0,0,0,0
D,Zampano,6,0,0,0,0,0,0,1,0,0
D,Candela,6,0,0,0,0,0,0,0,0,0
D,Altare,6.5,0,0,0,0,0,0,0,0,0
D,Svoboda,6.5,0,0,0,0,0,0,0,0,0
D,Idzes,6,0,0,0,0,0,0,0,0,0
D,Sverko,6,0,0,0,0,0,0,0,0,0
C,Duncan,6,0,0,0,0,0,0,0,0,0
C,Nicolussi Caviglia,6.5,0,0,0,0,0,0,0,0,0
C,Ellertsson,6,0,0,0,0,0,0,0,0,0
C,Oristanio,5.5,0,0,0,0,0,0,1,0,0
C,Andersen M.k.,5.5,0,0,0,0,0,0,0,0,0
C,Doumbia I.,6,0,0,0,0,0,0,0,0,0
A,Pierini,6,0,0,0,0,0,0,0,0,0
A,Raimondo,6,0,0,0,0,0,0,0,0,0
A,Gytkjaer,5.5,0,0,0,0,0,0,0,0,0
P,Montipo',6,0,3,0,0,0,0,0,0,0
D,Magnani,5,0,0,0,0,0,0,0,0,0
D,Dawidowicz,5,0,0,0,0,0,0,0,0,0
D,Coppola D.,5.5,0,0,0,0,0,0,0,0,0
D,Tchatchoua,4.5,0,0,0,0,0,0,0,0,0
D,Frese,6,0,0,0,0,0,0,0,0,0
C,Lazovic,5.5,0,0,0,0,0,0,0,0,0
C,Duda,5,0,0,0,0,0,0,1,0,0
C,Harroui,6,0,0,0,0,0,0,0,0,0
C,Alidou,5.5,0,0,0,0,0,0,0,0,0
C,Belahyane,5,0,0,0,0,0,0,0,0,0
C,Suslov,6,0,0,0,0,0,0,0,0,0
