Nome,Punteggio,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Fantamedia anno 2021-2022,Presenze 2023-2024,Fanta Media 2023-2024,FM su tot gare 2023-2024,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
DI GREGORIO MICHELE,84,5.45,5.13,nd,32,5.45,4.71,21/30,20/30,0,POR,"['Outsider', 'Titolare']",60,60,False,True,False,Juventus,UP,32
SKORUPSKI LUKASZ,83,5.31,4.97,4.96,31,5.31,4.45,30+,40/50,0,POR,"['Titolare', 'Buona Media', 'Rigorista']",40,60,False,False,False,Bologna,UP,31
MONTIPÒ LORENZO,82,5.03,4.79,4.69,36,5.03,4.89,21/30,40/50,0,POR,"['Titolare', 'Buona Media']",40,60,False,False,False,Verona,UP,36
MARTINEZ JOSEP,82,4.94,nd,nd,35,4.94,4.67,0/10,0,0,POR,['Panchinaro'],40,60,False,False,False,Inter,STABLE,35
SOMMER YANN,82,5.65,nd,nd,33,5.65,5.04,21/30,20/30,0,POR,['Titolare'],60,40,False,False,False,Inter,STABLE,33
MILINKOVIC SAVIC VANJA,81,5.21,4.89,4.85,35,5.21,4.93,30+,30/40,0,POR,['Titolare'],60,60,False,False,False,Torino,UP,35
MAIGNAN MIKE,79,4.86,5.34,5.60,28,4.86,3.68,21/30,20/30,0,POR,"['Fuoriclasse', 'Titolare', 'Buona Media']",60,60,False,False,False,Milan,DOWN,28
MERET ALEX,77,4.90,5.56,5.00,29,4.90,3.84,11/20,20/30,0,POR,"['Titolare', 'Buona Media']",80,60,False,False,False,Napoli,DOWN,29
PROVEDEL IVAN,73,5.14,5.46,4.48,29,5.14,4.03,21/30,20/30,0,POR,"['Titolare', 'Buona Media']",60,60,False,False,False,Lazio,DOWN,29
SVILAR MILE,73,5.38,4.83,nd,13,5.38,1.89,11/20,8/11,0,POR,"['Outsider', 'Titolare']",60,60,False,False,False,Roma,UP,13
CARNESECCHI MARCO,71,5.36,4.63,nd,25,5.36,3.62,21/30,30/40,0,POR,"['Panchinaro', 'Giovane talento']",60,60,False,False,False,Atalanta,UP,25
